,names,68,1700,3400,6800,10200,20400,27200,40800,108800
0,K1,6.47821905636286e-07,0.002136532980620438,1.951349038682946e-05,0.000475059738110138,8.521425413851048e-05,0.0690518480729892,0.05403934960765846,0.004606334753836798,0.0017803428885109001
1,K2,0.012537401382987,0.0031721372990260502,0.003912852538746575,0.04387758365449498,0.09550935046325842,0.09051454385911678,0.08308232002852936,0.05536614471772916,0.03020802741246401
2,K6,0.0031527222737665,0.16154501705618668,0.03224390097921475,0.14412227049118226,0.1151706228466126,0.26440774575506915,0.2457443152261608,0.1338793153237905,0.13399942010970708
3,K7,1.3400489504817328,0.3730145258134111,0.44506565003347054,0.29565508301362425,0.6329961155597206,0.4738161796346996,0.4217639905868976,0.3800110479877344,0.3688760894384074
4,KL_NO3,1.504902371223581e-19,5.870112193215629e-22,8.445965788602803e-17,8.318269832652601e-10,5.021288862306577e-09,9.538193456706433e-10,9.719504661278977e-09,7.929631430613752e-08,7.832702371661813e-07
5,K8,0.0067386241499037,0.7022719337162386,0.07342326966684928,0.6110239437139655,0.5031184656829638,0.23482603928476922,0.32313291632085794,0.5564289997170689,0.5511468036333836
6,KL_DOC,0.0018584653529418,0.28473581705511747,0.0259851584030427,0.7177215099270441,0.506493964174605,0.518597492171114,0.4327920048172184,0.5642756146853832,0.35323579546718176
7,K9,0.0017413347343946,0.005723451288363945,0.0015670416143388096,0.006338079106953136,0.006712716053467875,0.010416157720873037,0.01054679765568669,0.018823734467224355,0.020832831136844594
8,K10,0.4624960460545824,0.45993205850711955,0.5932316304167374,0.5685462274514458,0.7866325205852991,0.8499379490986955,0.8873908069728991,0.8020023175428566,0.7210312805118279
9,K11,0.0,0.01773650704821597,0.009361519694124144,0.08486000139968401,0.020201266353217794,0.1493717543216112,0.14766727055237586,0.1244645244020884,0.08894946009758922
10,K12,0.4027286152839912,0.04720156252706196,0.04153333090092708,0.40467586040575926,0.03984181572525289,0.15313296005978583,0.1380942062179959,0.13081740160984004,0.14968170872602166
11,K13,0.0058723002282111,0.010284764135464402,0.08076459258414924,0.06013770526181711,0.10720311623094539,0.1379540735136421,0.13284525781137238,0.1337604851625635,0.1225815007874415
12,K14,0.8736892838781476,0.013878381652791092,0.004572888544947948,0.11866918635441588,0.03235474143954787,0.09284936572485838,0.13662500097355704,0.07241764311790327,0.046914248981676406
13,Kl_NO3,0.1077336250138827,0.008871020421163108,0.005016783098863082,0.12468695606880181,0.016784531645306296,0.08157226682140896,0.0756653792197554,0.027950527252147014,0.024000568592267523
14,K15,0.3929376948680723,0.0038644994289337422,0.09414291072874514,0.04136697539732558,0.2527175575025742,0.14737812490438293,0.1257996301256909,0.10288831624587207,0.09390778482151625
15,K16,1.3377653359532296,0.18996525272193626,0.05612241286715894,0.16991790489060224,0.2084286670922324,0.13954373055831715,0.13974670238659392,0.3671375766001038,0.24411114595865713
