Unnamed: 0,names,68,1700,3400,6800,10200,20400,27200,40800,108800
0,K1,1.0144683540529144e-08,6.684152646766322e-08,2.464563504450237e-07,3.4703147240174303e-06,1.939688916172733e-07,1.9008951e-07,1.8843120454053688e-07,1.8775514019693546e-07,1.875433062437158e-07
1,K2,2.793966638828481e-07,0.0001644004901434,7.507630140121196e-05,9.140587915148905e-05,9.34919198804598e-05,9.1622081e-05,9.108563740540951e-05,9.081255791633281e-05,9.071460150301276e-05
2,K6,1.6871370587291423,0.7654839002574735,0.485142740799162,0.4473888798309643,0.2705021113101708,0.26509207,0.2628617627197313,0.26165912415726733,0.2613886708246185
3,K7,1.6347598269334198,0.7879457919783875,0.5065437233821259,0.4790413265510956,0.5737998238318531,0.56232383,0.5574851943790124,0.5557200136739854,0.555358009614054
4,KL_NO3,1.349555858726494e-21,7.58777995090674e-09,1.887683062465062e-07,2.583117675669293e-09,6.177145704658898e-07,6.0536028e-07,6.012964020610983e-07,6.001667603872025e-07,5.994732309756246e-07
5,K8,2.4857521620738963e-08,4.23160361762635e-06,4.431113801828548e-06,3.9359166952526835e-06,3.879457890495241e-06,3.8018687e-06,3.7743759062528125e-06,3.7628431104150462e-06,3.75847876241999e-06
6,KL_DOC,4.465747286104307e-21,1.444045699291188e-09,2.845124645987072e-08,1.6953396534068306e-09,2.2610144421451378e-07,2.2157942e-07,2.197545970045275e-07,2.191688104504456e-07,2.1894326828118595e-07
7,K9,4.7309809868212036e-17,3.989936591141488e-08,1.9867251312329635e-06,1.778675036270588e-07,1.3655018917401762e-06,1.3381919e-06,1.3271847514933599e-06,1.3214526588100745e-06,1.3198744228061497e-06
8,K10,2.1500755029654846e-14,6.4560087135959455e-06,4.5860991074263314e-06,1.038692190376102e-05,3.656012993818344e-06,3.5828927e-06,3.545605877179608e-06,3.53525146212773e-06,3.530662769958721e-06
9,K11,0.0,0.0107883743186385,0.0027973367508664,0.0139094675879481,0.0075392168201614,0.0073884325,0.007329730269499532,0.007314521175888551,0.007304978407132231
10,K12,6.832348257285161e-10,3.4096576115302864e-05,0.0007207837320499,0.0016052033531693,0.00052109247133,0.00051067062,0.0005062779674741411,0.0005042944161723941,0.0005037639625111226
11,K13,1.6226620213986498e-06,0.0373278113434655,0.0319371903011986,0.0331013247497432,0.0305355465676756,0.029924836,0.0296631567439671,0.029561099485204124,0.02952726915014337
12,K14,5.867445576749651e-06,0.0066519290132447,0.0089578964903101,0.0124223763304831,0.0121834580439989,0.011939789,0.011850605707040395,0.011818142492098166,0.011805033751618458
13,Kl_NO3,1.2308933040628454e-06,0.0017646826360033,0.0102161941651936,0.0037108767190646,0.0016302760078246,0.0015976705,0.0015845461082814372,0.0015800705259849414,0.0015782094503951041
14,K15,0.0039085740905441,0.2488794828054127,0.195881869338512,0.2148550735295908,0.1435085122402765,0.14063834,0.13978229834055145,0.13949126026332023,0.13931163398799531
15,K16,0.9903422484287456,0.6194217767798577,0.5980563020851235,0.5443323633172387,0.4481480438897458,0.43918508,0.4354142140435379,0.43389083296636605,0.433413526144833
