Site,Time,BM_SMX [%],CoM_SMX [%],DOC_SMX [%],BM_Nit [%],CoM_Nit [%],BM_DeA [%],CoM_DeA [%]
HO,0.0,0.0,100.0,0.0,nan,nan,nan,nan
HO,0.0,0.0,100.0,0.0,nan,nan,nan,nan
HO,0.0,0.0,100.0,0.0,nan,nan,nan,nan
HO,0.1,4.707608240040364,95.29239175995964,0.008092010438603912,99.95661074180995,0.0433892581900343,33.72033774400489,66.2796622559951
HO,0.2,9.089231469310544,90.91076853068947,0.007966682183450964,99.93239831827397,0.06760168172602683,50.146756810445034,49.853243189554966
HO,0.3,13.174628198175423,86.82537180182457,0.007846235621821901,99.91765569633176,0.08234430366823947,59.723743162825215,40.276256837174785
HO,0.4,16.970063902608583,83.02993609739143,0.007731773049258266,99.90634597188269,0.09365402811732414,65.88345558272208,34.11654441727791
HO,0.5,20.50387419681602,79.49612580318399,0.007621035935755977,99.89776361198828,0.10223638801172649,70.0888457319421,29.911154268057917
HO,0.6,23.794779383889487,76.20522061611052,0.007515594558330518,99.8908913977566,0.10910860224339011,73.07205622351847,26.927943776481534
HO,0.7,26.8602740499174,73.1397259500826,0.007413351540640281,99.88525655718387,0.1147434428161337,75.23566530835342,24.764334691646578
HO,0.8,29.716938999645276,70.28306100035473,0.007314424695014487,99.88051894132361,0.11948105867638903,76.82233097088437,23.17766902911564
HO,0.9,32.378494645425825,67.62150535457417,0.007219121186596979,99.87645735436902,0.12354264563097321,77.98611324631354,22.013886753686464
HO,1.0,34.858133325617956,65.14186667438204,0.007126425897369219,99.87290754256492,0.12709245743508332,78.83010327999875,21.16989672000124
HO,1.1,37.167701134082535,62.832298865917465,0.007035835373950561,99.8697542992119,0.13024570078809686,79.42604688046957,20.57395311953043
HO,1.2,39.31710359175447,60.68289640824553,0.006948032583830151,99.86690829278602,0.13309170721397626,79.8249032541565,20.175096745843494
HO,1.3,41.31656867509762,58.68343132490238,0.006862468819772492,99.86429681351751,0.13570318648248852,80.06518585915555,19.934814140844455
HO,1.4,43.17477378717906,56.825226212820944,0.006779196662280483,99.86188211448152,0.13811788551848925,80.17554925638551,19.82445074361449
HO,1.5,44.90041763266948,55.09958236733053,0.006698050725349729,99.85959732497189,0.1404026750281137,80.17857275723777,19.821427242762223
HO,1.6,46.50092731922269,53.4990726807773,0.00661909809449019,99.85742089780375,0.14257910219624448,80.0920458797119,19.907954120288093
HO,1.7,47.98336276457149,52.01663723542851,0.006542495361109242,99.85531478202442,0.14468521797558792,79.92996616326549,20.07003383673452
HO,1.8,49.3547475876817,50.6452524123183,0.006468141833276944,99.85324887659878,0.14675112340122606,79.70468276979945,20.295317230200546
HO,1.9,50.62154581224204,49.37845418775796,0.006396226653569612,99.85120470016058,0.14879529983941467,79.42593479839995,20.574065201600046
HO,2.0,51.78927034576324,48.21072965423675,0.006326777013765515,99.84916356009299,0.1508364399070124,79.10192002249515,20.898079977504853
HO,2.1,52.86476863652195,47.13523136347805,0.006259839073347994,99.84709573216651,0.15290426783349267,78.74019010682115,21.259809893178858
HO,2.2,53.85260620939336,46.14739379060664,0.006195759006511916,99.84498408748907,0.15501591251094604,78.34748100150671,21.652518998493292
HO,2.3,54.758576178707095,45.24142382129291,0.0061344013140496,99.84282095338142,0.15717904661857324,77.9286183191417,22.071381680858295
HO,2.4,55.58685896208726,44.41314103791275,0.006076265688565788,99.84057330726685,0.15942669273313256,77.48810754771587,22.511892452284126
HO,2.5,56.34402379086533,43.655976209134664,0.006021324540919988,99.83824096903713,0.1617590309628805,77.03179829311614,22.968201706883853
HO,2.6,57.033096545304055,42.96690345469594,0.005969614174799365,99.8358027735131,0.16419722648691795,76.56216044025166,23.437839559748344
HO,2.7,57.659749522081526,42.340250477918474,0.005921299994228893,99.83325740338645,0.166742596613546,76.08322414798397,23.916775852016038
HO,2.8,58.22699550735039,41.77300449264961,0.0058768489082792474,99.83056064198081,0.16943935801919421,75.5980398218313,24.401960178168693
HO,2.9,58.73996242624596,41.26003757375404,0.005836126574494448,99.8277223195338,0.17227768046619385,75.10961454065233,24.890385459347662
HO,3.0,59.20279532909297,40.797204670907036,0.0057992119565770635,99.82473163668487,0.1752683633151302,74.62136344015678,25.37863655984321
HO,3.1,59.617015885878914,40.382984114121086,0.005766404691789786,99.8215546096708,0.17844539032920503,74.13211395997659,25.867886040023414
HO,3.2,59.98895807227525,40.01104192772474,0.00573767145596927,99.81819064906166,0.18180935093833014,73.64792964750131,26.352070352498675
HO,3.3,60.32040492940954,39.67959507059046,0.0057132801568445905,99.81463486483837,0.185365135161633,73.16782750860932,26.832172491390683
HO,3.4,60.614146605893595,39.38585339410641,0.005693131505031572,99.81086807259639,0.1891319274036154,72.69386166580402,27.306138334195968
HO,3.5,60.87534954811539,39.12465045188461,0.005677497309060108,99.80687414290958,0.19312585709042074,72.22901916738536,27.77098083261464
HO,3.6,61.10400167772146,38.895998322278544,0.005666301055941343,99.80264043398623,0.19735956601377563,71.77119847273136,28.228801527268647
HO,3.7,61.303794295710645,38.696205704289355,0.005659719576427627,99.79815388426091,0.20184611573909228,71.32392257512566,28.676077424874347
HO,3.8,61.47880772079507,38.52119227920493,0.005657760841291808,99.79341220237045,0.20658779762954566,70.88761224473427,29.11238775526571
HO,3.9,61.628440544844935,38.371559455155065,0.00566031035508788,99.78839422712392,0.21160577287609186,70.46148335462901,29.538516645371004
HO,4.0,61.75669349608387,38.243306503916116,0.005667682915386625,99.78308255206485,0.21691744793514628,70.04692426228938,29.953075737710606
HO,4.1,61.865653273823995,38.13434672617601,0.0056796469451836,99.77748107344048,0.2225189265595211,69.64486650754662,30.35513349245338
HO,4.2,61.95615087022585,38.04384912977416,0.005696444724777311,99.77157176970677,0.2284282302932286,69.25346567994674,30.746534320053236
HO,4.3,62.031511220887914,37.9684887791121,0.005717929227424341,99.76533980286386,0.23466019713614547,68.87650117849526,31.123498821504725
HO,4.4,62.091121791618384,37.90887820838162,0.005744095135634018,99.75877341123979,0.24122658876020853,68.51035404141616,31.489645958583836
HO,4.5,62.13711043765995,37.862889562340065,0.005775016487473326,99.75186042931274,0.2481395706872577,68.15604248514877,31.843957514851233
HO,4.6,62.17053862436314,37.82946137563687,0.0058106601283941526,99.74458832425364,0.25541167574636325,67.81379221917106,32.18620778082894
HO,4.7,62.194219387533124,37.80578061246687,0.005851053462676255,99.736940832928,0.26305916707200083,67.48428571619343,32.51571428380657
HO,4.8,62.20750054411233,37.79249945588768,0.005896167668864095,99.72891746216933,0.2710825378306707,67.16556406336576,32.83443593663424
HO,4.9,62.21225211660661,37.7877478833934,0.0059459355508812125,99.72050565835282,0.2794943416471744,66.85906429079628,33.14093570920371
HO,5.0,62.209525627247444,37.790474372752556,0.006000384511766017,99.71168300055024,0.2883169994497482,66.56363895995399,33.43636104004602
HO,5.1,62.19889592285549,37.801104077144515,0.006059498779022091,99.70244944023254,0.297550559767458,66.27813735418476,33.72186264581524
HO,5.2,62.182461319062654,37.81753868093735,0.006123407133458778,99.6927748851459,0.30722511485410103,66.00353221142046,33.996467788579544
HO,5.3,62.15964206900819,37.84035793099182,0.00619198097434843,99.68266641060943,0.317333589390574,65.73865636769052,34.26134363230948
HO,5.4,62.131725048078636,37.86827495192136,0.006265172522661681,99.67209621091037,0.3279037890896339,65.48358710434388,34.51641289565611
HO,5.5,62.09940678824288,37.90059321175712,0.00634306988907251,99.6610616374888,0.33893836251120085,65.23744398145556,34.76255601854443
HO,5.6,62.06278303844827,37.93721696155173,0.006425505335760894,99.64957040585846,0.35042959414155006,65.00001999016483,34.99998000983516
HO,5.7,62.02286281819348,37.97713718180652,0.006512798261242616,99.63754462175143,0.3624553782485663,64.77169615982669,35.22830384017332
HO,5.8,61.97870295295347,38.021297047046524,0.0066047804131647144,99.62502795030736,0.37497204969264103,64.55089469365134,35.44910530634864
